000000000000000001101011011000,42
000000000000000001101111001110,39
000000000000000010011111000111,41
000000000000001001010111001010,49
000000000000001101010100101100,48
000000000000001101100000010101,47
000000000000001110000000000001,49
000000000000001111010000100110,39
000000000000001111101101011000,48
000000000000001111111101001111,48
000000000000010001000110101100,26
000000000000010010010100110011,36
000000000000010010010101100001,42
000000000000010100011011101011,48
000000000000010100110100111011,44
000000000000010110011001001100,49
000000000000010110011011100111,50
000000000000010110100111110010,47
000000000000011000001101010110,48
000000000000011000010110110100,49
000000000000011000011011111101,37
000000000000011010010100010010,60
000000000000011011101101011111,56
000000000000011011110010001101,56
000000000000011111100010001100,63
000000000000011111100110000111,61
000000000000100000010100110110,56
000000000000100000100011000111,64
000000000000100010110111010010,56
000000000000100110001010000010,57
000000000000100110101011111111,65
000000000000101001000101011100,64
000000000000101001010111001011,61
000000000000101100000011111100,60
000000000000101100011111010111,62
000000000000101100111011101000,46
000000000000110000010100101001,66
000000000000110011010010000110,43
000000000000110011101101001001,61
000000000000110100010111010101,62
000000000000110111110111011001,67
000000000000111010010110101011,49
000000000000111110010011110000,59
000000000001000000101011010011,60
000000000001000000101101110000,51
000000000001000001011111101110,60
000000000001000011101111001000,67
000000000001000011110100010001,70
000000000001000101010001001111,68
000000000001000101111110010110,60
000000000001000110111110001100,45
000000000001000111111100111110,63
000000000001001011010011100110,60
000000000001001011100001111000,61
000000000001010000011101110010,66
000000000001010011000011111100,55
000000000001010100011111001010,52
000000000001010100110110111100,62
000000000001011001111111101011,63
000000000001011100101100101000,68
000000000001011111001001010110,65
000000000001100011010011001001,59
000000000001101010000101111110,66
000000000001101010011010100010,68
000000000001101011001001000001,67
000000000001101100010101110101,66
000000000001101100100010100100,60
000000000001101101001000001011,65
000000000001101111010000100011,62
000000000001101111010000111110,64
000000000001110000100101110011,63
000000000001110011011000101000,61
000000000001110100001011010001,68
000000000001110111010010101000,62
000000000001111000000010101000,65
000000000001111001001001011000,60
000000000001111001010011011110,64
000000000001111001110000000001,66
000000000001111011010101001000,52
000000000001111100010110101010,59
000000000001111111110101001010,67
000000000010000000110000111010,64
000000000010000001110010110001,65
000000000010000100000100000011,59
000000000010000111111011101101,64
000000000010001010011001010011,65
000000000010001011001100001101,61
000000000010001100011111011100,65
000000000010001110010100111000,65
000000000010001110110011101001,67
000000000010001111001011111110,65
000000000010001111010100011000,53
000000000010010011011010100111,56
000000000010010100101000010101,60
000000000010010101100100000101,56
000000000010010101111010110100,49
000000000010010110010011111011,61
000000000010011001101111111001,66
000000000010011001111101100011,60
000000000010011100010001001010,47
000000000010011100101101000110,62
000000000010100000101100100001,57
000000000010100011011110000011,64
000000000010100101101001000111,67
000000000010101000001110001111,52
000000000010101000100100001110,58
000000000010101010011001101100,65
000000000010101011100110110001,61
000000000010101101101110001001,60
000000000010101111000011010001,45
000000000010110000011011011011,63
000000000010110001001001010100,68
000000000010110001001001010111,66
000000000010110001001100001000,68
000000000010110011001011001001,70
000000000010110100010001000111,70
000000000010110101010101111111,67
000000000010110101011110101000,67
000000000010111000011101000100,66
000000000010111011111110010001,67
000000000010111100101100101001,60
000000000010111101001010111011,69
000000000010111101110100000001,71
000000000011000000010001010100,62
000000000011000110110110010000,59
000000000011001001101000011000,63
000000000011001011011000111101,55
000000000011001011101111000110,59
000000000011001111000011010011,55
000000000011001111010110010111,61
000000000011010000000010110001,63
000000000011010001001100000111,66
000000000011010100010100100110,61
000000000011010101000110010011,66
000000000011010111000101010101,61
000000000011011100001111001011,44
000000000011011101000010101011,61
000000000011011101000100011111,53
000000000011011110011011000011,48
000000000011100001101000111011,62
000000000011100010001111101110,58
000000000011100011011100100001,62
000000000011100101011110111011,66
000000000011100111100101001000,64
000000000011101001011110101111,65
000000000011101101101000110101,68
000000000011101110111100101000,70
000000000011101111101101011011,64
000000000011110001100011001101,67
000000000011110001100011111111,66
000000000011110011101000001011,68
000000000011110100101111110011,54
000000000011111011101010000010,56
000000000011111011111111111011,60
000000000011111110000011111011,54
